region,functional,functional needs repair,non functional,other,fiber,carbs,sugars,shelf,potassium,vitamins,serving size weight,cups per serving
Select Region,0,0,0,,,,,,,,,
Arusha,2294,175,881,,,,,,,,,
Dar es Salaam,461,3,341,,,,,,,,,
Dodoma,1009,209,983,,,,,,,,,
Iringa,4141,123,1030,,,,,,,,,
Kagera,1727,304,1285,,,,,,,,,
Kigoma,1363,603,850,,,,,,,,,
Kilimanjaro,2640,322,1417,,,,,,,,,
Lindi,460,93,993,,,,,,,,,
Manyara,987,96,500,,,,,,,,,
Mara,886,60,1023,,,,,,,,,
Mbeya,2319,504,1816,,,,,,,,,
Morogoro,2119,300,1587,,,,,,,,,
Mtwara,524,126,1080,,,,,,,,,
Mwanza,1502,183,1417,,,,,,,,,
Pwani,1556,36,1043,,,,,,,,,
Rukwa,707,135,966,,,,,,,,,
Ruvuma,1480,164,996,,,,,,,,,
Shinyanga,2789,635,1558,,,,,,,,,
Singida,1011,128,954,,,,,,,,,
Tabora,848,45,1066,,,,,,,,,
Tanga,1436,73,1038,,,,,,,,,